Wafer_ID,Lot_Code,Thickness_nm,Inspection_Date
WF-1001,l-b2 ,722.7227510080736,2026-08-13 
 WF-1002 ,L-C3,723.2950611568235, 04/08/2026
WF-1003,L-B2,722.9266212651639,2026/08/02
WF-1004,L-C3,721.9760323061206,2026-08-16 
 WF-1005 ,L-C3,725.1698256978069, 09/08/2026
WF-1006,L-A1 ,722.0916745925614,2026/08/09
WF-1007,L-B2,725.9465988902294,2026-08-06 
 WF-1008 ,L-B2,724.824166616928, 11/08/2026
WF-1009,L-B2,724.1636818359676,2026/08/22
WF-1010,L-C3,721.8235271828544,2026-08-24 
 WF-1011 ,l-b2 ,722.9813003430108, 22/08/2026
WF-1012,L-B2,727.6438692903902,2026/08/01
WF-1013,L-C3 ,726.7532101566853,2026-08-04 
 WF-1014 ,L-C3,721.578556643205, 13/08/2026
WF-1015,L-A1 ,725.3476630690022,2026/08/23
WF-1016,l-b2 ,727.6298549318012,2026-08-13 
 WF-1017 ,L-C3 ,719.1570815160752, 13/08/2026
WF-1018,L-C3 ,726.9017606733298,2026/08/02
WF-1019,L-A1 ,722.6808168436895,2026-08-09 
 WF-1020 ,l-b2 ,726.997095340076, 24/08/2026
WF-1021,L-C3,722.3285929521012,2026/08/08
WF-1022,l-a1,718.6829126476741,2026-08-07 
 WF-1023 ,l-b2 ,719.303601467409, 04/08/2026
WF-1024,L-A1 ,725.1682973133148,2026/08/18
WF-1025,L-C3 ,725.9090287560252,2026-08-03 
 WF-1026 ,L-C3,721.8348918121345, 28/08/2026
WF-1027,l-b2 ,727.2350736057208,2026/08/06
WF-1028,l-a1,719.1846797820587,2026-08-12 
 WF-1029 ,l-a1,724.7687207047344, 12/08/2026
WF-1030,L-B2,720.7614433008314,2026/08/21
WF-1031,L-B2,722.7185736226925,2026-08-28 
 WF-1032 ,L-A1 ,725.1658953496075, 08/08/2026
WF-1033,l-b2 ,,2026/08/22
WF-1034,l-b2 ,723.6540555951956,2026-08-22 
 WF-1035 ,L-C3 ,728.5220248322505, 01/08/2026
WF-1036,L-C3 ,722.980878456669,2026/08/04
WF-1037,L-C3 ,727.924922392228,2026-08-21 
 WF-1038 ,L-B2,721.0460260086984, 28/08/2026
WF-1039,l-b2 ,726.8543146227034,2026/08/11
WF-1040,l-b2 ,730.0454901723026,2026-08-03 
 WF-1041 ,l-a1,716.3492442495544, 13/08/2026
WF-1042,L-B2,722.2108666058533,2026/08/25
WF-1043,L-C3,727.0197524451319,2026-08-17 
 WF-1044 ,L-B2,724.2893411488495, 22/08/2026
WF-1045,L-C3,726.2990105567995,2026/08/22
WF-1046,l-a1,722.8860518464946,2026-08-10 
 WF-1047 ,L-A1 ,725.3030642561552, 21/08/2026
WF-1048,l-b2 ,724.4551296761277,2026/08/12
WF-1049,l-a1,729.0872372158093,2026-08-15 
 WF-1050 ,l-b2 ,725.8904729515542, 21/08/2026
WF-1051,L-C3 ,726.1816093172632,2026/08/10
WF-1052,L-A1 ,723.5584306185714,2026-08-14 
 WF-1053 ,L-A1 ,723.2933782157463, 13/08/2026
WF-1054,l-a1,723.4860463426313,2026/08/05
WF-1055,L-A1 ,726.3805824983241,2026-08-06 
 WF-1056 ,L-C3,723.5265543171291, 24/08/2026
WF-1057,L-A1 ,726.0142119991375,2026/08/02
WF-1058,l-b2 ,732.263902795259,2026-08-22 
 WF-1059 ,l-b2 ,728.0489364620109, 17/08/2026
WF-1060,l-b2 ,,2026/08/04
WF-1061,l-b2 ,729.2042487275738,2026-08-14 
 WF-1062 ,L-C3,723.5717361944246, 10/08/2026
WF-1063,L-B2,717.8665641268775,2026/08/03
WF-1064,L-C3 ,721.4716979117891,2026-08-25 
 WF-1065 ,l-a1,718.4522282764095, 03/08/2026
WF-1066,l-b2 ,723.7697028058554,2026/08/15
WF-1067,L-A1 ,725.0644643271635,2026-08-06 
 WF-1068 ,l-b2 ,730.8675305929635, 17/08/2026
WF-1069,L-A1 ,726.1442458081746,2026/08/12
WF-1070,L-C3 ,724.233148149169,2026-08-22 
 WF-1071 ,L-C3 ,727.9029195341423, 20/08/2026
WF-1072,L-C3 ,717.2610264184724,2026/08/24
WF-1073,L-A1 ,725.82465095338,2026-08-11 
 WF-1074 ,l-b2 ,727.6980281786044, 25/08/2026
WF-1075,L-C3 ,719.8249481397705,2026/08/04
WF-1076,L-C3,729.0031391512242,2026-08-26 
 WF-1077 ,L-A1 ,726.1847374262304, 28/08/2026
WF-1078,L-A1 ,723.5464923013471,2026/08/26
WF-1079,l-b2 ,727.214736531372,2026-08-06 
 WF-1080 ,L-A1 ,732.9474250023154, 01/08/2026
WF-1081,L-A1 ,725.6365318927047,2026/08/20
WF-1082,L-C3 ,725.8687720520512,2026-08-23 
 WF-1083 ,l-b2 ,723.3922368516091, 28/08/2026
WF-1084,L-C3 ,722.0255447068732,2026/08/16
WF-1085,L-C3 ,,2026-08-15 
 WF-1086 ,l-b2 ,722.003706609319, 17/08/2026
WF-1087,l-a1,725.2504818302679,2026/08/08
WF-1088,L-C3 ,723.3281989363221,2026-08-28 
 WF-1089 ,L-C3,726.6764293901124, 26/08/2026
WF-1090,L-C3,726.1678173685043,2026/08/12
WF-1091,L-A1 ,728.6313898049026,2026-08-27 
 WF-1092 ,L-C3,723.2149426040083, 22/08/2026
WF-1093,L-A1 ,724.0554377264732,2026/08/21
WF-1094,l-a1,,2026-08-10 
 WF-1095 ,l-b2 ,, 27/08/2026
WF-1096,l-b2 ,726.320551725657,2026/08/15
WF-1097,l-b2 ,727.6494601582588,2026-08-09 
 WF-1098 ,L-C3,721.7724213653784, 02/08/2026
WF-1099,l-a1,728.0436207203699,2026/08/05
WF-1100,L-C3,729.7447325058173,2026-08-06 
 WF-1101 ,L-C3,726.4470221612829, 07/08/2026
WF-1102,l-a1,731.5687853439532,2026/08/21
