Wafer_ID,Total_Dies,Passed_Dies,Defect_Category
WF-1001,1000,867,NONE
WF-1002,1000,970,NONE
WF-1003,1000,849,EDGE_SCRATCH
WF-1004,1000,771,RING_DEFECT
WF-1005,1000,929,none
WF-1006,1000,929,EDGE_SCRATCH
WF-1007,1000,860,NONE
WF-1008,1000,913,none
WF-1009,1000,822,NONE
WF-1010,1000,980,NONE
WF-1011,1000,992,EDGE_SCRATCH
WF-1012,1000,896,RING_DEFECT
WF-1013,1000,787,NONE
WF-1014,1000,819, edge_scratch 
WF-1015,1000,865,none
WF-1016,1000,988,NONE
WF-1017,1000,828,NONE
WF-1018,1000,934,NONE
WF-1019,1000,897,NONE
WF-1020,1000,758,NONE
WF-1021,1000,781,NONE
WF-1022,1000,881,NONE
WF-1023,1000,799,EDGE_SCRATCH
WF-1024,1000,831,none
WF-1025,1000,754,ring_defect
WF-1026,1000,897,NONE
WF-1027,1000,836,EDGE_SCRATCH
WF-1028,1000,875,RING_DEFECT
WF-1029,1000,824, edge_scratch 
WF-1030,1000,914,NONE
WF-1031,1000,771,EDGE_SCRATCH
WF-1032,1000,935,NONE
WF-1033,1000,817,NONE
WF-1034,1000,970,none
WF-1035,1000,793,none
WF-1036,1000,783,NONE
WF-1037,1000,826,ring_defect
WF-1038,1000,791, edge_scratch 
WF-1039,1000,886,NONE
WF-1040,1000,855,ring_defect
WF-1041,1000,844,NONE
WF-1042,1000,884,ring_defect
WF-1043,1000,817,none
WF-1044,1000,896,NONE
WF-1045,1000,983,EDGE_SCRATCH
WF-1046,1000,971, edge_scratch 
WF-1047,1000,908,EDGE_SCRATCH
WF-1048,1000,877,ring_defect
WF-1049,1000,912,EDGE_SCRATCH
WF-1050,1000,934, edge_scratch 
WF-1051,1000,834,RING_DEFECT
WF-1052,1000,938, edge_scratch 
WF-1053,1000,908,NONE
WF-1054,1000,832,RING_DEFECT
WF-1055,1000,844,NONE
WF-1056,1000,930,EDGE_SCRATCH
WF-1057,1000,781,RING_DEFECT
WF-1058,1000,815,EDGE_SCRATCH
WF-1059,1000,936, edge_scratch 
WF-1060,1000,865,EDGE_SCRATCH
WF-1061,1000,887,NONE
WF-1062,1000,879,RING_DEFECT
WF-1063,1000,943,NONE
WF-1064,1000,809,NONE
WF-1065,1000,965,NONE
WF-1066,1000,766,none
WF-1067,1000,845,none
WF-1068,1000,893,RING_DEFECT
WF-1069,1000,765,NONE
WF-1070,1000,795,NONE
WF-1071,1000,916,NONE
WF-1072,1000,994,NONE
WF-1073,1000,908, edge_scratch 
WF-1074,1000,856,NONE
WF-1075,1000,837,NONE
WF-1076,1000,878,NONE
WF-1077,1000,888,NONE
WF-1078,1000,868,NONE
WF-1079,1000,834,NONE
WF-1080,1000,753,EDGE_SCRATCH
WF-1081,1000,820,RING_DEFECT
WF-1082,1000,903,none
WF-1083,1000,860,ring_defect
WF-1084,1000,799,NONE
WF-1085,1000,889,none
WF-1086,1000,844,ring_defect
WF-1087,1000,958,NONE
WF-1088,1000,974,ring_defect
WF-1089,1000,952,NONE
WF-1090,1000,841,NONE
WF-1091,1000,973,NONE
WF-1092,1000,814,EDGE_SCRATCH
WF-1093,1000,796, edge_scratch 
WF-1094,1000,969,EDGE_SCRATCH
WF-1095,1000,930,NONE
WF-1096,1000,855,NONE
WF-1097,1000,948,NONE
WF-1098,1000,879,NONE
WF-1099,1000,855,ring_defect
WF-1100,1000,773,NONE
WF-1101,1000,753,RING_DEFECT
WF-1102,1000,857,RING_DEFECT
WF-1103,1000,768,NONE
WF-1104,1000,903, edge_scratch 
WF-1105,1000,952,NONE
WF-1106,1000,789,NONE
WF-1107,1000,799,NONE
WF-1108,1000,920,none
WF-1109,1000,824,NONE
WF-1110,1000,986,none
WF-1111,1000,944,none
WF-1112,1000,761,NONE
WF-1113,1000,944, edge_scratch 
WF-1114,1000,983,EDGE_SCRATCH
WF-1115,1000,776,NONE
WF-1116,1000,862,NONE
WF-1117,1000,931,EDGE_SCRATCH
WF-1118,1000,943,NONE
WF-1119,1000,798, edge_scratch 
WF-1120,1000,893,NONE
WF-1121,1000,879,NONE
WF-1122,1000,809,NONE
WF-1123,1000,931,NONE
WF-1124,1000,779, edge_scratch 
WF-1125,1000,833,NONE
